ID,Brewery,State,District,Year Opened,Top Beer #1,Top Beer #2,Top Beer #3,Top Beer #4,Top Beer #5
001,Weihenstephan,Bavaria,Freising,1040,Weihenstephaner Helles,Hefeweißbier,Winterfestbier,Naturradler,Kellerbier,Weihenstephaner Kristallweißbier
002,Weltenburg Abbey,Bavaria,Kelheim,1050,Märzen,Zwickelbier,Kloster,Dunkelweizen,Wiesnbier,Weltenburger Kloster Anno 1050
003,Bolten-Brauerei,North Rhine-Westphalia,Korschenbroich,1266,Alt,Ur-Alt,Ur-Weizen,Landbier,Malz,BOLTENs Helles
004,Gaffel Becker,North Rhine-Westphalia,Cologne,1302,Weiss,Kölsch,Fass Brause,Sonnen Hopfen,Lemon,Gaffel Koelsch
005,Augustiner-Bräu,Bavaria,Munich,1328,Lagerbier Hell,Edelstoff,Heller Bock,Dunkel,Doppelbock,Augustiner Helles
006,Franziskaner,Bavaria,Munich,1363,Hefe-Weissbier Naturtrüb,Hefe-Weissbier Dunkel,Weissbier Kristallklar,Helles,Hefe-Weissbier Leicht,Franziskaner Kellerbier
007,Spaten,Bavaria,Munich,1372,Märzenbier,Pils,Diät-Pils,Doppelbock,Oktoberfestbier,Spaten Münchner Hell
008,Hofbräu,Bavaria,Munich,1589,Münchner Weisse,Schwarze Weisse,Sommerzwickl,Winterzwickl,Maibock,Hofbräu Oktoberfestbier
010,Paulaner,Bavaria,Munich,1634,Weissbier,Weissbier Dunkel,Oktoberfest Bier,Salvator,Hell,Münchner Hell
011,Schlenkerla,Bavaria,Bamberg,1678,Eiche,Rauchweizen,Urbock,Kräusen,Fastenbier,Schlenkerla Jahrgangsbiere
